epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.77529,0.82914,5.0309,1.20035,0,0,0,0,0.44075,4.36358,0.96658,8.95e-06,8.95e-06,8.95e-06
2,10.8561,0.79571,5.04147,1.16687,0,0,0,0,0.40292,4.35054,0.93768,1.93001e-05,1.93001e-05,1.93001e-05
3,15.9937,0.74515,4.95485,1.16275,0,0,0,0,0.37618,4.33479,0.91042,2.9225e-05,2.9225e-05,2.9225e-05
4,21.1086,0.65818,4.87644,1.09333,0,0,0,0,0.3562,4.28473,0.87597,3.87245e-05,3.87245e-05,3.87245e-05
5,26.1452,0.64427,4.79213,1.06763,0,0,0,0,0.36255,4.21789,0.85062,4.77987e-05,4.77987e-05,4.77987e-05
6,31.2652,0.63178,4.64814,1.05659,0.00197,0.01603,0.00391,0.00362,0.37623,4.10995,0.84631,5.64476e-05,5.64476e-05,5.64476e-05
7,36.6802,0.68333,4.57002,1.07074,0.01195,0.20533,0.02227,0.02163,0.37456,3.97859,0.85207,6.46713e-05,6.46713e-05,6.46713e-05
8,42.0646,0.66167,4.42549,1.08297,0.02184,0.45784,0.03941,0.0376,0.43295,3.87559,0.87259,7.24696e-05,7.24696e-05,7.24696e-05
9,47.464,0.62286,4.27283,1.05047,0.02184,0.56103,0.05319,0.05218,0.40466,3.81603,0.86482,7.98426e-05,7.98426e-05,7.98426e-05
10,52.8624,0.64314,4.12002,1.0622,0.02064,0.59666,0.07036,0.06836,0.43745,3.7579,0.87883,8.67903e-05,8.67903e-05,8.67903e-05
11,58.2886,0.66323,4.03441,1.08337,0.03041,0.587,0.08271,0.07828,0.42754,3.83318,0.90781,9.33127e-05,9.33127e-05,9.33127e-05
12,63.7365,0.64256,3.89792,1.06282,0.02608,0.66271,0.10386,0.10034,0.44865,3.669,0.89904,9.94098e-05,9.94098e-05,9.94098e-05
13,69.1282,0.65544,3.75518,1.07694,0.02974,0.74846,0.14742,0.13895,0.45586,3.57999,0.93917,0.000105082,0.000105082,0.000105082
14,74.5583,0.64123,3.64745,1.07434,0.02982,0.77421,0.15554,0.14598,0.461,3.46217,0.93494,0.000110328,0.000110328,0.000110328
15,80.0426,0.64343,3.50145,1.05725,0.03086,0.90659,0.19559,0.18308,0.48979,3.20755,0.94841,0.000115149,0.000115149,0.000115149
16,85.5283,0.63022,3.43619,1.05988,0.46134,0.24335,0.20324,0.1905,0.46855,3.07686,0.93339,0.000119545,0.000119545,0.000119545
17,91.2748,0.61047,3.31723,1.03986,0.40705,0.28889,0.24079,0.22536,0.52046,2.76874,0.95615,0.000122293,0.000122293,0.000122293
18,97.3737,0.61588,3.2379,1.06027,0.36491,0.33967,0.25225,0.23981,0.47404,2.72612,0.94843,0.000118749,0.000118749,0.000118749
19,102.846,0.6159,3.17719,1.0659,0.4659,0.31575,0.27565,0.25659,0.50353,2.66973,0.95215,0.000115204,0.000115204,0.000115204
20,108.273,0.62042,3.11076,1.06173,0.40402,0.36768,0.30534,0.2842,0.48909,2.54644,0.95586,0.00011166,0.00011166,0.00011166
21,113.672,0.638,3.07988,1.0712,0.29664,0.41732,0.34249,0.31838,0.47251,2.37413,0.9587,0.000108116,0.000108116,0.000108116
22,119.127,0.62528,2.97618,1.05801,0.2919,0.43458,0.36828,0.34315,0.47417,2.30262,0.94748,0.000104572,0.000104572,0.000104572
23,124.631,0.58732,2.92187,1.03758,0.29024,0.40042,0.37174,0.34982,0.44205,2.30249,0.9402,0.000101028,0.000101028,0.000101028
24,130.092,0.58667,2.86364,1.05049,0.38049,0.47502,0.45232,0.42788,0.4514,2.12072,0.93587,9.74834e-05,9.74834e-05,9.74834e-05
25,135.548,0.53873,2.84325,1.01745,0.35175,0.4369,0.43135,0.40511,0.45756,2.1599,0.93697,9.39392e-05,9.39392e-05,9.39392e-05
