epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.5134,0.73383,3.25235,1.16349,0.34727,0.66312,0.43198,0.39651,0.42393,1.60659,0.92397,0.00332597,0.00332597,0.00332597
2,179.939,0.60084,1.83302,1.03905,0.56794,0.73573,0.69985,0.64252,0.42146,1.07792,0.92335,0.00665272,0.00665272,0.00665272
3,265.936,0.63839,1.49504,1.0538,0.75584,0.76251,0.86403,0.78423,0.43364,0.89187,0.9312,0.00997286,0.00997286,0.00997286
4,350.425,0.6674,1.28745,1.07148,0.85591,0.8387,0.92871,0.85088,0.41781,0.65665,0.92825,0.0099703,0.0099703,0.0099703
5,435.888,0.64146,1.1091,1.06134,0.92242,0.8627,0.94713,0.86772,0.41632,0.52955,0.92662,0.0099604,0.0099604,0.0099604
6,520.412,0.61282,0.98014,1.03804,0.93536,0.89327,0.96345,0.89993,0.37541,0.48019,0.89735,0.0099505,0.0099505,0.0099505
7,605.681,0.59522,0.93897,1.03302,0.94084,0.91019,0.96919,0.91242,0.34743,0.43151,0.8784,0.0099406,0.0099406,0.0099406
8,690.154,0.56103,0.86737,1.01782,0.95795,0.91458,0.97166,0.92158,0.3323,0.4056,0.87517,0.0099307,0.0099307,0.0099307
9,775.054,0.55087,0.8386,1.01028,0.94726,0.91556,0.97723,0.929,0.32074,0.38332,0.8648,0.0099208,0.0099208,0.0099208
10,859.848,0.54217,0.80878,1.00053,0.95618,0.93324,0.97949,0.93706,0.30878,0.34516,0.85995,0.0099109,0.0099109,0.0099109
11,945.082,0.51778,0.76672,0.99023,0.96347,0.93641,0.98061,0.94112,0.30104,0.33117,0.85092,0.009901,0.009901,0.009901
12,1030.65,0.506,0.75118,0.9834,0.9652,0.93882,0.98195,0.94664,0.29398,0.31504,0.84696,0.0098911,0.0098911,0.0098911
13,1116.31,0.49316,0.72062,0.97438,0.96763,0.94444,0.98584,0.95371,0.27901,0.30483,0.8371,0.0098812,0.0098812,0.0098812
14,1202.44,0.48788,0.71192,0.97039,0.96926,0.93832,0.98218,0.94707,0.28861,0.31357,0.84055,0.0098713,0.0098713,0.0098713
15,1287.62,0.47777,0.70834,0.97169,0.97158,0.9403,0.984,0.9545,0.26872,0.28564,0.83363,0.0098614,0.0098614,0.0098614
16,1373.45,0.46994,0.70052,0.9634,0.97119,0.933,0.98011,0.94745,0.2777,0.30521,0.84346,0.0098515,0.0098515,0.0098515
17,1459.02,0.45826,0.6671,0.96009,0.97327,0.94617,0.9847,0.96067,0.24509,0.27532,0.82728,0.0098416,0.0098416,0.0098416
18,1544.71,0.45448,0.64777,0.95779,0.9748,0.95085,0.98713,0.96279,0.24814,0.26729,0.82489,0.0098317,0.0098317,0.0098317
19,1629.68,0.43825,0.63213,0.9463,0.98063,0.93872,0.98676,0.96655,0.23485,0.25991,0.81833,0.0098218,0.0098218,0.0098218
20,1714.3,0.43871,0.64658,0.95068,0.97251,0.94762,0.98555,0.9622,0.24377,0.26135,0.82129,0.0098119,0.0098119,0.0098119
21,1799.31,0.42308,0.61699,0.9385,0.97908,0.95835,0.98863,0.9694,0.23003,0.23585,0.81656,0.009802,0.009802,0.009802
22,1884.49,0.423,0.62114,0.94086,0.97092,0.95884,0.98653,0.96354,0.24061,0.24914,0.8201,0.0097921,0.0097921,0.0097921
23,1969.27,0.41924,0.60931,0.93793,0.9804,0.94829,0.98745,0.96719,0.23168,0.24665,0.81561,0.0097822,0.0097822,0.0097822
24,2053.73,0.40904,0.58866,0.93003,0.97683,0.96086,0.98978,0.97248,0.22111,0.22844,0.81035,0.0097723,0.0097723,0.0097723
25,2138.87,0.40928,0.60293,0.93555,0.98145,0.95645,0.98873,0.97086,0.22112,0.22897,0.80976,0.0097624,0.0097624,0.0097624
26,2224.95,0.40637,0.59824,0.93504,0.97912,0.95678,0.99015,0.97143,0.2278,0.23084,0.80857,0.0097525,0.0097525,0.0097525
27,2309.88,0.39818,0.57723,0.92585,0.97863,0.9581,0.98934,0.9722,0.22401,0.22502,0.81168,0.0097426,0.0097426,0.0097426
28,2394.8,0.3922,0.57496,0.9255,0.9845,0.94849,0.98932,0.97392,0.20993,0.22126,0.80582,0.0097327,0.0097327,0.0097327
29,2479.9,0.38816,0.57167,0.9237,0.98319,0.94945,0.98905,0.97291,0.2146,0.22822,0.80896,0.0097228,0.0097228,0.0097228
30,2565.22,0.38605,0.56898,0.92757,0.97745,0.95442,0.9888,0.97329,0.21523,0.23068,0.80646,0.0097129,0.0097129,0.0097129
31,2650.65,0.3813,0.56184,0.9182,0.98166,0.95657,0.9886,0.97178,0.21793,0.22568,0.80666,0.009703,0.009703,0.009703
32,2735.72,0.38133,0.56382,0.92102,0.97379,0.96112,0.98922,0.97567,0.20606,0.21563,0.80299,0.0096931,0.0096931,0.0096931
33,2821.97,0.37158,0.54734,0.91569,0.97668,0.95894,0.98932,0.97578,0.20967,0.2187,0.80402,0.0096832,0.0096832,0.0096832
34,2907.64,0.36759,0.53789,0.91227,0.97947,0.95852,0.99005,0.9778,0.20161,0.21305,0.79873,0.0096733,0.0096733,0.0096733
35,2994.28,0.37562,0.56661,0.92427,0.97222,0.95736,0.98838,0.97361,0.20937,0.22271,0.80517,0.0096634,0.0096634,0.0096634
36,3080.25,0.37047,0.54477,0.918,0.983,0.95492,0.98905,0.97636,0.19822,0.21526,0.80094,0.0096535,0.0096535,0.0096535
37,3165.72,0.36727,0.54661,0.91437,0.98444,0.95421,0.99,0.97791,0.19629,0.20639,0.79939,0.0096436,0.0096436,0.0096436
38,3250.89,0.36026,0.53525,0.91112,0.98302,0.95485,0.9905,0.97835,0.19735,0.20406,0.7992,0.0096337,0.0096337,0.0096337
39,3336.35,0.35424,0.5328,0.91098,0.97999,0.95222,0.98945,0.97772,0.19966,0.21153,0.80023,0.0096238,0.0096238,0.0096238
40,3421.8,0.36097,0.53816,0.91246,0.97666,0.95974,0.9905,0.97729,0.1967,0.20753,0.79954,0.0096139,0.0096139,0.0096139
41,3506.37,0.35814,0.53057,0.91187,0.98124,0.95749,0.99049,0.9781,0.19291,0.20431,0.79657,0.009604,0.009604,0.009604
42,3591.28,0.35357,0.53098,0.9128,0.97639,0.96163,0.9895,0.97805,0.19381,0.20497,0.795,0.0095941,0.0095941,0.0095941
43,3676.58,0.34387,0.51087,0.903,0.97839,0.96049,0.99071,0.98011,0.1835,0.19936,0.795,0.0095842,0.0095842,0.0095842
44,3761.31,0.35153,0.52327,0.91101,0.97287,0.96144,0.9893,0.97701,0.19435,0.20516,0.79915,0.0095743,0.0095743,0.0095743
45,3846.64,0.34363,0.50905,0.90209,0.97922,0.95944,0.98969,0.97898,0.19123,0.19955,0.79542,0.0095644,0.0095644,0.0095644
46,3931.6,0.34944,0.52169,0.90832,0.98201,0.96119,0.99096,0.98075,0.18977,0.19564,0.79534,0.0095545,0.0095545,0.0095545
47,4017.16,0.34133,0.51101,0.90082,0.98088,0.96313,0.99037,0.98108,0.183,0.19413,0.79413,0.0095446,0.0095446,0.0095446
48,4102.9,0.341,0.51227,0.90336,0.98669,0.95721,0.99039,0.98016,0.17813,0.1884,0.79312,0.0095347,0.0095347,0.0095347
49,4188.05,0.34159,0.50667,0.90309,0.97501,0.9709,0.99091,0.98146,0.18079,0.1897,0.79208,0.0095248,0.0095248,0.0095248
50,4273.93,0.33707,0.49928,0.9005,0.98391,0.96341,0.99076,0.98228,0.17811,0.18556,0.7906,0.0095149,0.0095149,0.0095149
51,4359.62,0.33676,0.50912,0.90101,0.98068,0.96585,0.9913,0.98115,0.18578,0.18532,0.79423,0.009505,0.009505,0.009505
52,4445.77,0.33382,0.49807,0.89796,0.985,0.96381,0.99092,0.98195,0.17876,0.18021,0.79177,0.0094951,0.0094951,0.0094951
53,4530.61,0.33498,0.49773,0.90233,0.98564,0.96588,0.9914,0.98342,0.17502,0.17863,0.78978,0.0094852,0.0094852,0.0094852
54,4615.68,0.32746,0.46918,0.89295,0.98376,0.96919,0.99156,0.98212,0.17841,0.1801,0.79371,0.0094753,0.0094753,0.0094753
55,4701.46,0.32637,0.48423,0.90004,0.98734,0.964,0.99202,0.98345,0.17627,0.1799,0.7917,0.0094654,0.0094654,0.0094654
56,4786.45,0.3303,0.48309,0.89775,0.98149,0.97082,0.99158,0.98301,0.16977,0.17649,0.78756,0.0094555,0.0094555,0.0094555
57,4871.73,0.32772,0.47862,0.89794,0.98298,0.97173,0.99208,0.98489,0.16724,0.17607,0.78835,0.0094456,0.0094456,0.0094456
58,4956.84,0.32917,0.48516,0.89693,0.9875,0.96987,0.99239,0.98437,0.17307,0.17354,0.78905,0.0094357,0.0094357,0.0094357
